"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_M82A2_D","Manufactured as a shoulder firable version of the iconic M82A1 rifle, the M82A2 is of a bullpup design which moves the firing group ahead of the magazine and the buttpad on the back of the magazine well. To create a stable firing position, a reverse angled fore grip is positioned at the front of the receiver.","Manufactured as a shoulder firable version of the iconic M82A1 rifle, the M82A2 is of a bullpup design which moves the firing group ahead of the magazine and the buttpad on the back of the magazine well. To create a stable firing position, a reverse angled fore grip is positioned at the front of the receiver.","M82A2 je vyrobena jako ramenní zpevnitelná verze ikonické pušky M82A1 a je konstruována jako bulpup, který posune palebnou skupinu před magazínem a buttpad na zadní straně magazínu. Pro vytvoření stabilní palebné polohy je na přední straně přijímače umístěn zpětný úhlový přední úchop.","Das M82A2 ist als schulterfähige Version des ikonischen M82A1 Gewehres gefertigt und ist von einem Stierpup-Design, das die Feuergruppe vor dem Magazin und das Buttpad auf der Rückseite des Magazins gut bewegt. Um eine stabile Zündposition zu schaffen, ist an der Vorderseite des Empfängers ein umgekehrter, abgewinkelter Gabelgriff angeordnet.","Изготовленный в качестве плечевой версии культовой винтовки M82A1, M82A2 имеет буллпап-конструкцию, которая перемещает огневую группу перед журналом и прикладом на задней части журнала. Для создания стабильного огневого положения в передней части приемника устанавливается реверсивное переднее сцепление.","Wyprodukowany jako mocna wersja karabinu M82A1, M82A2 jest typu bulpup, który przesuwa grupę strzelecką przed magazynem i pośladek na tylnej części studni magazynu. Aby utworzyć stabilną pozycję zapłonu, z przodu odbiornika znajduje się wsteczny uchwyt czołowy.","Az M82A1 ikonikus puska váll-forgácsolható változataként gyártott M82A2 egy bullup design, amely a tüzelő csoportot a magazin előtt mozgatja, és a hátlapját a magazin hátulján. A stabil tüzelési helyzet létrehozásához a vevőkészülék elején fordított szögű előtapadást kell elhelyezni.","Prodotto come versione a spalla abete dell'iconico fucile M82A1, l'M82A2 è di un design bullpup che sposta il gruppo di cottura davanti alla rivista e il becco sul retro della rivista. Per creare una posizione di cottura stabile, si posiziona una presa anteriore inclinata inversa sulla parte anteriore del ricevitore.","Manufactured as a shoulder firable version of the iconic M82A1 rifle, the M82A2 is of a bullpup design which moves the firing group ahead of the magazine and the buttpad on the back of the magazine well. Para crear una posición de disparo estable, se coloca un agarre de antepaso en ángulo inverso en la parte frontal del receptor.","Fabriqué comme une version fiable de l'emblématique fusil M82A1, le M82A2 est d'un design bullup qui pousse le groupe de tir devant le magazine et le boutpad à l'arrière du magazine. Pour créer une position de tir stable, une poignée avant inclinée inverse est placée à l'avant du récepteur.","M82A2作为标志性M82A1步枪的可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可肩可 为了建立稳定的射击位置,在接收器前部设置了倒向角度的前握把.","M82A1のアイコニックなライフルのショルダーの恐ろしいバージョンとして製造されたM82A2は、雑誌や雑誌の裏面にバトパッドをうまく動かすブルップデザインです。 安定した発射位置を作成するために、逆の角度の穴のグリップは受信機の前部で置かれます。","Fabricado como uma versão firável do ombro do icônico rifle M82A1, o M82A2 é de um projeto bullpup que move o grupo de tiro à frente da revista e do buttpad na parte de trás da revista bem. Para criar uma posição de disparo estável, uma pega dianteira angulada ao contrário é posicionada na frente do receptor.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_KSVK_N","KSVK","KSVK","KSVK","KSVK","КСВК","KSVK","KSVK","KSVK","KSVK","KSVK","斯维克语Name","KSVKの特長","KSVK",
"STR_BC_KSVK_N_B","KSVK | Black","KSVK | Black","KSVK 124; černá","KSVK | Schwarz","Черный / Black","Name","KSVK - 124; fekete","KSVK | Nero","KSVK","Noir","KSVK 黑调","KSVK | ブラック","KSVK - Preto",
"STR_BC_KSVK_D","The KSVK (.50Cal) is a bullpup-configured, bolt-action, magazine-fed rifle. It is equipped with a muzzle device which acts as a muzzle brake. The KSVK is equipped with standard Russian side-mounted scope rail (dovetail), and can be fitted with variety of day and night scopes.","The KSVK (.50Cal) is a bullpup-configured, bolt-action, magazine-fed rifle. It is equipped with a muzzle device which acts as a muzzle brake. The KSVK is equipped with standard Russian side-mounted scope rail (dovetail), and can be fitted with variety of day and night scopes.","KSVK (.50Cal) je bulpup-konfigurovaná, bolt- action, magazine- fed puška. Je vybaven náhubkovým zařízením, které působí jako tlaková brzda. KSVK je vybaveno standardním ruským bočníkem (dovetail) a lze jej vybavit různými denními a nočními skoky.","Das KSVK (.50Cal) ist ein Bullpup-konfiguriertes, Bolzen-Action-Gewehr. Es ist mit einer Mündungsvorrichtung ausgestattet, die als Mündungsbremse wirkt. Die KSVK ist mit einer standardmäßigen russischen Seitenbahn (Dach) ausgestattet und kann mit verschiedenen Tages- und Nachtbereichen ausgestattet werden.","KSVK (.50Cal) - это винтовка, настроенная на булл-пап, с затвором, подкормленная магазином. Он оснащен дульным устройством, которое действует как дульный тормоз. KSVK оснащен стандартной российской прицельной рельсой (голубиной) и может быть оснащен различными дневными и ночными прицелами.","KSVK (.50Cal) to kompaktowy, bolt- action karabin z napędem magnezynowym. Jest on wyposażony w lufa, która działa jako hamulec lufy. KSVK jest wyposażony w standardową rosyjską szynę z zamontowanym bokiem (dovetail) i może być wyposażony w różne dni i nocy.","A KSVK (.50Cal) egy bullpool-konfigurált, bolt-action, magazine-feed puska. A készülék torkolatfékként működő fúvókával van felszerelve. A KSVK szabványos orosz oldalsó hatótávolságú sín (dovetail), és fel lehet szerelni a különböző nappali és éjszakai távcső.","Il KSVK (50Cal) è un fucile da bullpup-configured, bull-action, caricatore. È dotato di un dispositivo museruola che funge da freno a museruola. Il KSVK è dotato di binario di portata laterale russo standard (coda colomba), e può essere dotato di varie zone giorno e notte.","El KSVK (.50Cal) es un rifle de topa-configurado, atornillado, alimentado por revistas. Está equipado con un dispositivo de boquilla que actúa como freno de boquilla. El KSVK está equipado con carriles de alcance estándar ruso de montaje lateral (portal), y puede equiparse con variedad de ámbitos de día y noche.","Le KSVK (50Cal) est un fusil à bullup, à action de boulons, alimenté par des magazines. Il est équipé d'un dispositif de muselière qui agit comme un frein à muselière. Le KSVK est équipé de rails latéraux russes standard (dovetail), et peut être équipé de différentes portées de jour et de nuit.","KSVK (50 Cal)是一款由牛普配置而成,螺栓动作,杂志取材的步枪. 它装有口罩装置 作为口罩刹车 KSVK型机车装有标准俄罗斯侧载式瞄准镜铁路(dovetail),并可以装有各种昼夜瞄准镜.","KSVK(.50Cal)は、ブルップアップ構成、ボルトアクション、雑誌フィードのライフルです。 muzzle ブレーキとして機能する muzzle 装置が装備されています。 KSVKは標準的なロシアの側面取付けられた規模の柵(dovetail)が装備され、いろいろな日および夜規模と合うことができます。","O KSVK (.50Cal) é um rifle alimentado por revista. Está equipado com um dispositivo de focinho que funciona como um travão de focinho. O KSVK está equipado com trilho de escopo padrão russo montado lateral (dovetail), e pode ser equipado com variedade de escopos de dia e noite.",
"STR_BC_KSVK_Magazine_N","5rd KSVK Magazine","5rd KSVK Magazine","5rd KSVK Magazine","5. KSVK Magazin","5-й журнал КСВК","5rd KSVK Magazine","5rd KSVK Magazine","5rd KSVK Magazine","5rd KSVK Magazine","5e magazine KSVK","第五张KSVK杂志","第5回KSVKマガジン","5a Revista KSVK",
"STR_BC_KSVK_Magazine_D","5 .50 Cal Rounds Magazine for the KSVK","5 .50 Cal Rounds Magazine for the KSVK","5 .50 Časopis Cal Rounds pro KSVK","5.50 Cal Rounds Magazine für die KSVK","5.50 Cal Rounds Magazine для КСВК","5. 50 Cal Rounds Magazine dla KSVK","5 .50 Cal Rounds Magazine a KSVK számára","5 .50 Cal Rounds Magazine per il KSVK","5 .50 Cal Rounds Magazine for the KSVK","5 .50 Cal Rounds Magazine pour le KSVK","5.50 为 KSVK 设计的 Cal Rounds 杂志","KSVKの5 .50 Cal Roundsマガジン","5 .50 Revista Cal Rounds para o KSVK",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_HS50M1_N","Steyr HS50-M1","Steyr HS50-M1","Steyr HS50- M1","Steyr HS50-M1","Steyr HS50-M1","Steyr HS50- M1","Steyr HS50- M1","Steyr HS50-M1","Steyr HS50-M1","Steyr HS50-M1","斯泰尔 HS50-M1","ステアHS50-M1","Steyr HS50-M1",
"STR_BC_HS50M1_N_B","Steyr HS50-M1 | Black","Steyr HS50-M1 | Black","Steyr HS50- M1","Steyr HS50-M1 | Schwarz","Steyr HS50-M1 - черный","Steyr HS50- M1 124; czarny","Steyr HS50- M1","Steyr HS50-M1 | Nero","Steyr HS50-M1","Stuyr HS50-M1","斯泰尔 HS50-M1 黑色","Steyr HS50-M1 | ブラック","Stéyr HS50-M1",
"STR_BC_HS50M1_D","The STEYR HS .50 M1 is then most powerful sniper rifle produced by STEYR ARMS. With it’s 5 round detachable magazine and multi purpose picatinny rail system it meets all requirements of a modern law enforcement and military long range sniper rifle. The sideloading 5 round magazine allows changing the magazine without moving the rifle. The rifle has a „Take down“ design that allows easy disassembling for transport and same point of impact after reassembling. - Model Donated by Arnaud from Murders Resign","The STEYR HS .50 M1 is then most powerful sniper rifle produced by STEYR ARMS. With it’s 5 round detachable magazine and multi purpose picatinny rail system it meets all requirements of a modern law enforcement and military long range sniper rifle. The sideloading 5 round magazine allows changing the magazine without moving the rifle. The rifle has a „Take down“ design that allows easy disassembling for transport and same point of impact after reassembling. - Model Donated by Arnaud from Murders Resign","STEYR HS .50 M1 je pak nejvýkonnější odstřelovací puška vyráběná STEYR ARMS. S 5-ti kulatým odnímatelným časopisem a víceúčelovým pikatinným železničním systémem splňuje všechny požadavky moderních bezpečnostních složek a vojenské odstřelovací pušky dlouhého dosahu. Odložení 5-ti kolového zásobníku umožňuje měnit zásobník bez přesunutí pušky. Puška má ""sundat"" design, který umožňuje snadné demontáž pro přepravu a stejný bod nárazu po remontáži. - Model darovaný Arnaudem z Murders Reign","Das STEYR HS .50 M1 ist dann das mächtigste Scharfschützengewehr von STEYR ARMS. Mit seinem 5 runden abnehmbaren Magazin und mehr Zweck Picatinny Bahnsystem erfüllt es alle Anforderungen einer modernen Strafverfolgung und militärischen Langstrecken-Schnipergewehr. Das Sideloading 5 Rundmagazin ermöglicht das Wechseln des Magazins, ohne das Gewehr zu bewegen. Das Gewehr verfügt über ein „Take down“-Design, das eine einfache Demontage für den Transport und den gleichen Aufprall nach der Montage ermöglicht. - Modell Gespendet von Arnaud von Murders Resign","STEYR HS .50 M1 является самой мощной снайперской винтовкой, производимой STEYR ARMS. С его 5-ти круглым съемным магазином и многоцелевой системой picatinny он отвечает всем требованиям современных правоохранительных органов и военной снайперской винтовки большой дальности. Боковая загрузка 5-ти круглых журналов позволяет менять журнал без перемещения винтовки. Винтовка имеет конструкцию «Take down», которая позволяет легко разбирать для транспортировки и ту же точку удара после сборки. Модель, подаренная Арно из Murders Resign","STEYR HS .50 M1 to najpotężniejszy karabin snajperski produkowany przez STEYR ARMS. Z 5 okrągłym magazynem i wielofunkcyjnym systemem kolejowym spełnia wszystkie wymagania nowoczesnego stróża prawa i wojskowego karabinu snajperskiego dalekiego zasięgu. 5 okrągły magazyn boczny pozwala na zmianę magazynu bez przesuwania karabinu. Karabin posiada konstrukcję ""Take down"", która umożliwia łatwe demontaż do transportu i ten sam punkt uderzenia po ponownym montażu. - Model darowany przez Arnauda z Rezygnacji Morderstw","A STEYR HS .50 M1 akkor a legerősebb mesterlövész puska által gyártott STEYR ARMS. 5 kerek levehető magazinnal és többcélú Picatinny vasúti rendszerrel megfelel a modern bűnüldözés és a katonai lőfegyver minden követelményének. Az 5-ös tölténytár lehetővé teszi a magazin megváltoztatását anélkül, hogy mozgatná a puskát. A puskának van egy ""letépés"" terve, amely lehetővé teszi a könnyű szétszerelést a szállításhoz, és ugyanazt az ütközési pontot az összeszerelés után. - Modell által adományozott Arnaud a Murders Resign","La STEYR HS .50 M1 è quindi il fucile più potente prodotto da STEYR ARMS. Con il suo 5 tondo scomparto staccabile e il sistema di binario multi-purpose picatinny soddisfa tutti i requisiti di una moderna applicazione della legge e fucile da cecchino a lungo raggio militare. La rivista sideloading 5 round permette di cambiare la rivista senza spostare il fucile. Il fucile ha un design „Take down“ che consente un facile smontaggio per il trasporto e lo stesso punto di impatto dopo la riassemblaggio. - Modello Donato da Arnaud da Murders Dimissioni","El STEYR HS .50 M1 es entonces el más poderoso rifle de francotirador producido por STEYR ARMS. Con su revista desmontable de 5 rondas y sistema de ferrocarril picatinny multifunción cumple con todos los requisitos de un moderno rifle de francotirador de largo alcance militar y de aplicación de la ley. La revista sideloading 5 round permite cambiar la revista sin mover el rifle. El rifle tiene un diseño de “Take down” que permite un fácil desmontaje para el transporte y el mismo punto de impacto después de reagruparse. - Modelo Donado por Arnaud de la Resignación de Asesinos","Le STEYR HS .50 M1 est alors le plus puissant fusil à sniper produit par STEYR ARMS. Avec elle, 5 tours de magazine détachable et système ferroviaire multi-usage picatinny, il répond à toutes les exigences d'un fusil de sniper de longue portée de la police moderne et militaire. Le chargeur latéral 5 tours permet de changer le chargeur sans bouger le fusil. Le fusil a un „Retirez-vous"" design qui permet de démonter facilement pour le transport et le même point d'impact après le remontage. - Modèle donné par Arnaud à partir de Meurtres Démission","STEYR HS.50 M1是当时由STEYR ARMS所生产的最强大的狙击步枪. 它拥有五发可拆卸弹匣和多用途的皮卡通铁路系统,满足现代执法和军用远程狙击步枪的所有要求。 侧式装入5个圆形杂志允许修改杂志而无需移动步枪. 该步枪有一个“取下”的设计,便于运输拆卸,并在重新组装后产生同一点撞击。 - 模型捐赠 阿尔诺 从谋杀辞职","STEYR HS .50 M1は、STEYR ARMSによって生成された最も強力なスナイパーライフルです。 それは5つの円形の取り外し可能な雑誌および多目的picatinnyの柵システムそれによって現代法の執行および軍の長期スナイパーのライフルのすべての条件を満たします。 サイドローディング5ラウンドマガジンでは、ライフルを移動せずに雑誌を変更することができます。 ライフルは、搬送と再組み立て後の衝撃の同じポイントを簡単に分解できる「テイクダウン」のデザインを持っています。 - Murders ResignからArnaudによって寄付されたモデル","O STEYR HS .50 M1 é então o rifle mais poderoso produzido por STEYR ARMS. Com ele é 5 rodada destacável revista e multi fim picatinny sistema ferroviário que atende a todos os requisitos de uma moderna aplicação da lei e militar de longo alcance atirador rifle. O sideloading 5 rodada revista permite mudar a revista sem mover o rifle. O rifle tem um design ""Derrubar"" que permite desmontagem fácil para o transporte e mesmo ponto de impacto após remontar. - Modelo Doado por Arnaud de Assassinatos Renunciar",
